161176.37806551682,"[10, 1]"
161176.37806551682,[9]
161176.37806551682,"[11, 1, 0, 1]"
161176.37806551682,"[5, 2, 1]"
161176.37806551682,"[4, 1]"
161176.37806551682,"[9, 2]"
161176.37806551682,"[9, 1, 1]"
161176.37806551682,"[6, 4]"
161176.37806551682,[4]
161176.37806551682,"[9, 4]"
161176.37806551682,"[13, 1, 1]"
161176.37806551682,"[5, 1]"
161176.37806551682,"[7, 2]"
161176.37806551682,"[4, 1, 0, 0, 1]"
161176.37806551682,"[4, 2, 1, 1]"
161176.37806551682,"[13, 3, 1]"
161176.37806551682,"[10, 0, 1]"
161176.37806551682,"[8, 2, 1]"
161176.37806551682,"[6, 0, 1]"
161176.37806551682,"[4, 1, 1]"
161176.37806551682,"[12, 4]"
161176.37806551682,"[11, 2]"
161176.37806551682,"[11, 1]"
161176.37806551682,"[6, 2]"
161176.37806551682,"[6, 2]"
161176.37806551682,"[7, 3]"
161176.37806551682,[9]
161176.37806551682,"[8, 2, 1]"
161176.37806551682,[9]
161176.37806551682,"[7, 3, 1]"
161176.37806551682,"[8, 2]"
161176.37806551682,"[8, 1]"
161176.37806551682,"[8, 5]"
161176.37806551682,"[6, 3, 1]"
161176.37806551682,"[10, 3, 3]"
161176.37806551682,"[10, 0, 1, 1]"
161176.37806551682,"[4, 1]"
161176.37806551682,"[7, 3]"
161176.37806551682,"[9, 3]"
161176.37806551682,"[8, 1, 0, 1]"
161176.37806551682,"[8, 2]"
161176.37806551682,"[10, 5]"
161176.37806551682,"[7, 1]"
161176.37806551682,"[11, 2, 1]"
161176.37806551682,"[5, 1, 2]"
161176.37806551682,"[8, 3]"
161176.37806551682,"[7, 1]"
161176.37806551682,"[12, 2]"
161176.37806551682,"[7, 1]"
161176.37806551682,"[9, 2, 1]"
63962.88802340641,"[3, 3]"
63962.88802340641,"[5, 1]"
63962.88802340641,"[5, 2]"
63962.88802340641,"[8, 2, 1, 1]"
63962.88802340641,"[7, 1]"
63962.88802340641,[5]
63962.88802340641,[6]
63962.88802340641,"[6, 1, 1]"
63962.88802340641,"[5, 2, 1]"
63962.88802340641,"[7, 1]"
63962.88802340641,[4]
63962.88802340641,"[4, 1]"
63962.88802340641,"[6, 2]"
63962.88802340641,"[5, 0, 1]"
63962.88802340641,[4]
17427.685125500084,[3],0.9792276248230838
17427.685125500084,[4],1.494131906483868
17427.685125500084,[3],1.3743888171830407
17427.685125500084,[3],1.3893035335099064
17427.685125500084,[7],1.1405486130370908
17427.685125500084,[3],1.9541573830957086
17427.685125500084,[3],1.1858869745591287
17427.685125500084,[1],1.2333153077915857
17427.685125500084,"[1, 1, 2]",1.174579350580599
17427.685125500084,[3],1.4584298100240058
17427.685125500084,"[2, 1]",1.7688535157568017
17427.685125500084,"[4, 1]",1.6831117187976867
17427.685125500084,[6],1.3397625237601853
17427.685125500084,"[0, 2]",1.7756382445611587
17427.685125500084,"[4, 1]",1.2311399586636875
17427.685125500084,"[4, 0, 1]",1.5924598949251434
17427.685125500084,"[4, 1]",1.7374644679756093
17427.685125500084,[2],1.3133499087370062
17427.685125500084,"[3, 1]",1.275499768223875
17427.685125500084,"[4, 2]",1.275216763602431
17427.685125500084,[5],1.2815112862391989
17427.685125500084,"[9, 2]",1.888646228010312
17427.685125500084,"[4, 1]",1.5287169485539336
17427.685125500084,"[2, 2]",1.401750961052477
17427.685125500084,"[6, 0, 1]",1.510034078638481
17427.685125500084,"[0, 1]",0.9629058574399563
17427.685125500084,"[1, 1, 1]",1.5067208958354876
17427.685125500084,"[4, 0, 0, 1]",1.461343434683364
17427.685125500084,[3],1.3178157881060784
17427.685125500084,"[4, 1]",1.488973015039339
17427.685125500084,[3],1.6862085312414343
17427.685125500084,"[3, 2]",1.577729607585504
17427.685125500084,"[2, 1]",1.23826047920806
17427.685125500084,[3],1.5844362425271197
17427.685125500084,"[2, 1]",1.3952056975503104
17427.685125500084,"[3, 1]",1.238693351705624
17427.685125500084,"[5, 2]",1.6638447305639976
17427.685125500084,"[3, 0, 1]",1.2690717305935242
17427.685125500084,[2],1.4616376030782083
17427.685125500084,[3],1.2076364279488665
17427.685125500084,"[4, 2]",1.3292686842735801
17427.685125500084,[2],1.6258122749552968
17427.685125500084,"[2, 1, 1]",1.58689810735424
17427.685125500084,"[2, 2, 1]",1.609331857260301
17427.685125500084,"[4, 1]",1.22321213655229
17427.685125500084,"[4, 1]",1.0949865338665603
17427.685125500084,"[4, 1]",1.6388690470811067
17427.685125500084,[1],1.284144907161566
17427.685125500084,[3],1.0595839002936969
17427.685125500084,"[3, 2]",1.2231111328622448
17427.685125500084,[6],1.506799065622063
17427.685125500084,"[2, 1]",1.7917971136970168
17427.685125500084,"[3, 2, 1]",1.5533251220701025
17427.685125500084,"[1, 1]",1.3829508741561578
17427.685125500084,"[4, 1]",1.7857467350444756
17427.685125500084,[3],0.9768575730023735
17427.685125500084,[3],1.3227489940517878
17427.685125500084,"[3, 2]",1.524139640942584
17427.685125500084,"[1, 1]",1.2473414690083877
17427.685125500084,"[2, 1]",1.1057715943180546
17427.685125500084,[1],0.9602444370374826
17427.685125500084,"[5, 2]",1.2053356126727557
17427.685125500084,"[3, 1]",1.3681282633388498
17427.685125500084,"[5, 1, 1]",1.9794824211622133
17427.685125500084,[3],1.3533632397385855
17427.685125500084,[2],1.7003164725313666
17427.685125500084,[4],1.264022881446726
17427.685125500084,[6],1.7839267746761032
17427.685125500084,"[4, 1]",1.639597377650298
17427.685125500084,"[3, 1]",1.557337892167123
17427.685125500084,"[3, 0, 1]",1.4165427266454311
17427.685125500084,[1],0.3828423229017917
17427.685125500084,"[4, 1]",1.344565419105405
17427.685125500084,[5],1.4902402425598023
17427.685125500084,"[0, 1]",1.2627906175300736
17427.685125500084,"[3, 1, 2]",1.7748529721562174
17427.685125500084,"[4, 1]",1.5303550157166221
17427.685125500084,"[1, 0, 1]",1.3651972228443034
17427.685125500084,"[7, 1]",1.6397437339401781
17427.685125500084,[4],1.2327606649610576
17427.685125500084,[6],1.4903649820029254
17427.685125500084,"[7, 1]",2.1262263141526065
17427.685125500084,[4],1.4656742773833125
17427.685125500084,[3],1.308914000818887
17427.685125500084,"[3, 5]",1.9235170666836958
17427.685125500084,"[4, 1]",1.633252569317923
17427.685125500084,"[1, 0, 1]",0.9196497332762139
17427.685125500084,"[5, 1]",1.37475839483425
17427.685125500084,[2],1.3396977944402622
17427.685125500084,"[4, 2]",2.0440958453284797
17427.685125500084,"[4, 2]",1.4069967299415616
17427.685125500084,[4],1.467029128411239
17427.685125500084,"[1, 1, 1]",1.4925425921161788
17427.685125500084,"[2, 2]",1.363724493110315
17427.685125500084,"[6, 1]",1.5712176677930167
17427.685125500084,[3],1.2976385792633318
17427.685125500084,"[4, 1]",1.441980009166415
17427.685125500084,"[3, 1]",1.423871539602364
17427.685125500084,[3],1.546587885852793
17427.685125500084,[6],1.4869882717830298
158289.8100878085,"[9, 1, 0, 1]",1.571257421420095
158289.8100878085,"[8, 1]",1.497697293149426
158289.8100878085,"[9, 3]",1.462232123975164
158289.8100878085,"[6, 2]",2.092104554256723
158289.8100878085,"[13, 1]",1.7247492704875944
158289.8100878085,"[3, 2]",1.3830582414152301
158289.8100878085,"[7, 3]",1.7625400270677392
158289.8100878085,"[6, 2, 1, 1]",1.5126160412220226
158289.8100878085,"[11, 5]",1.331624189349243
158289.8100878085,"[9, 1, 1]",1.6026968475208614
158289.8100878085,"[9, 1]",1.350095954839812
158289.8100878085,"[9, 2, 0, 0, 1]",1.3910513248200316
158289.8100878085,[10],1.5331350782236979
158289.8100878085,"[8, 1]",1.8619711339922016
158289.8100878085,"[12, 1, 2]",1.56470101932019
158289.8100878085,"[10, 5]",1.4714317493319071
158289.8100878085,[10],1.477208153133429
158289.8100878085,"[11, 2]",2.031557755186932
158289.8100878085,"[3, 0, 1]",1.3188057778146987
158289.8100878085,"[10, 2]",1.7611471585647451
158289.8100878085,[8],1.550182958817505
158289.8100878085,"[10, 1]",1.668259569314169
158289.8100878085,"[8, 2]",1.5602025080356008
158289.8100878085,"[5, 2, 1]",1.5769584579778593
158289.8100878085,"[5, 2, 0, 1]",1.4382954425578824
158289.8100878085,"[6, 3]",2.0810881027442716
158289.8100878085,"[9, 1, 1]",1.641974554400017
158289.8100878085,"[10, 1]",1.488345715381211
158289.8100878085,"[11, 0, 2]",1.4668640477778478
158289.8100878085,"[10, 5, 1]",1.742339619285638
158289.8100878085,"[9, 1]",1.6888262416182698
158289.8100878085,[11],1.4910889095746345
158289.8100878085,[9],1.6396346470757774
158289.8100878085,"[9, 1, 1]",1.3718775677131114
158289.8100878085,[9],1.4263126946071705
158289.8100878085,[8],1.4414622023256771
158289.8100878085,"[6, 2, 0, 1, 1]",1.5471274383768234
158289.8100878085,"[6, 2, 0, 1]",1.3877514191710414
158289.8100878085,"[6, 2, 2]",1.5557142550596368
158289.8100878085,"[7, 1]",1.2637476782108796
158289.8100878085,"[7, 1]",1.7944682307558226
158289.8100878085,"[10, 0, 2]",1.5820500850158774
158289.8100878085,"[11, 2]",1.6203651844446705
158289.8100878085,[15],1.2028308594836867
158289.8100878085,"[5, 2, 1, 0, 1]",1.8883992322060743
158289.8100878085,"[8, 2]",1.355721043616292
158289.8100878085,"[6, 1]",1.718476917607457
158289.8100878085,[8],1.839066665649324
158289.8100878085,[7],1.5616263097553402
158289.8100878085,"[6, 3, 1, 0, 0, 1]",1.6693253399524606
158289.8100878085,"[7, 1, 0, 1]",1.6520335060104343
158289.8100878085,"[8, 1, 2]",1.627487253621556
158289.8100878085,[6],1.4263646523158748
158289.8100878085,"[9, 1, 1]",1.4740632248217331
158289.8100878085,"[2, 1]",1.379057345316884
158289.8100878085,"[5, 3]",1.1264827574906928
158289.8100878085,"[6, 1, 0, 0, 1]",1.4540236371372572
158289.8100878085,"[5, 1]",1.2554260328561673
158289.8100878085,[7],1.5801824817767756
158289.8100878085,"[7, 1, 1]",1.5073438044800729
158289.8100878085,"[3, 1, 2]",1.4308410505280607
158289.8100878085,[9],1.4139410453565902
158289.8100878085,"[8, 2]",1.8269943768447594
158289.8100878085,"[3, 2, 2]",1.5171969646818122
158289.8100878085,"[2, 1, 1]",1.2820794953421695
158289.8100878085,"[7, 4]",1.6707940098579133
158289.8100878085,[15],1.57417045995204
158289.8100878085,"[10, 3]",1.617210149882989
158289.8100878085,"[10, 1, 1]",1.259565746364325
158289.8100878085,"[6, 4]",1.3200361080549075
158289.8100878085,"[8, 2]",1.5205175218293479
158289.8100878085,"[10, 3, 2]",1.6994875425228788
158289.8100878085,"[7, 2]",1.7702187480755163
158289.8100878085,"[2, 2, 1]",1.7209233261689807
158289.8100878085,[11],1.7281961969307185
158289.8100878085,[9],1.2409889882596978
158289.8100878085,"[6, 2]",1.3336539523259543
158289.8100878085,"[6, 1]",1.781249503383407
158289.8100878085,"[6, 3, 0, 2]",1.5213367711326446
158289.8100878085,"[4, 1]",1.138762522065567
158289.8100878085,"[14, 4]",1.757611042190844
158289.8100878085,"[9, 2]",1.5486702490969029
158289.8100878085,"[9, 3, 1]",1.8155125371721477
158289.8100878085,"[8, 1]",1.320009636883984
158289.8100878085,"[5, 3]",1.900414629452416
158289.8100878085,"[9, 3]",1.8606923225482082
158289.8100878085,"[12, 1]",1.6548756197350836
158289.8100878085,"[8, 1]",1.4128582156408809
158289.8100878085,"[3, 1]",1.241253523526645
158289.8100878085,"[6, 3]",1.7768426153103294
158289.8100878085,"[6, 3, 0, 1]",1.4510796288375876
158289.8100878085,"[7, 1, 0, 2]",1.3780886963315002
158289.8100878085,[2],1.1278295289108176
158289.8100878085,"[9, 1]",1.5674932918880295
158289.8100878085,"[11, 1]",1.455462750678794
158289.8100878085,"[6, 2]",1.5629055016223872
158289.8100878085,"[12, 1]",1.8797545521332442
158289.8100878085,[9],1.851300568017068
158289.8100878085,"[13, 2, 0, 0, 1]",1.7603668148838478
158289.8100878085,"[14, 1]",1.428886736249602
356576.95425050776,"[9, 3]",1.553752710559163
356576.95425050776,"[8, 0, 1, 1]",1.661541636404718
356576.95425050776,"[13, 4]",1.9694601574585358
356576.95425050776,"[9, 4, 2]",1.5021292763599907
356576.95425050776,"[5, 0, 1]",1.3445301350482415
356576.95425050776,"[14, 3, 1]",1.5871635656475982
356576.95425050776,"[5, 1, 3]",1.5941032886826583
356576.95425050776,"[7, 2]",1.7721445962347149
356576.95425050776,"[13, 2]",1.56360336412365
356576.95425050776,"[15, 1]",1.579695357214427
356576.95425050776,"[12, 3, 1]",1.9341349321324306
356576.95425050776,"[13, 5]",1.5473705773951647
356576.95425050776,"[8, 4, 1]",1.4691359727589914
356576.95425050776,"[12, 4]",1.5877373409932294
356576.95425050776,"[13, 3]",1.7950690734556545
356576.95425050776,"[14, 1]",1.7883210644082033
356576.95425050776,"[11, 2, 2]",1.6426316519847441
356576.95425050776,"[9, 1]",1.7815008584659242
356576.95425050776,[4],1.1615577285132483
356576.95425050776,"[8, 2, 1]",1.7031664496831247
356576.95425050776,"[9, 1]",1.7470283527616177
356576.95425050776,"[8, 3, 1, 1]",1.4804582018403625
356576.95425050776,"[9, 3, 2, 1]",1.5062492556532907
356576.95425050776,"[12, 5]",1.520617421370198
356576.95425050776,"[7, 2]",1.5369251575211378
356576.95425050776,"[6, 4, 1]",1.6181857293113937
356576.95425050776,"[7, 2]",1.6123991381713747
356576.95425050776,"[15, 2, 2]",1.748234649399466
356576.95425050776,"[7, 2, 1]",1.6937387835974127
356576.95425050776,"[14, 2]",1.728126063941702
356576.95425050776,"[9, 3, 1]",1.6614044551231633
356576.95425050776,"[11, 1]",1.2972066662763941
356576.95425050776,"[5, 3, 1]",1.6554604333310612
356576.95425050776,"[15, 6]",1.8460956859071374
356576.95425050776,"[16, 1]",1.8897149233498505
356576.95425050776,"[10, 3]",1.48879656689966
356576.95425050776,"[10, 4]",1.6629437550140942
356576.95425050776,"[8, 1, 0, 1]",1.8071762820526494
356576.95425050776,"[5, 3, 1]",1.4291438832960963
356576.95425050776,"[8, 2, 2]",1.4934402495185375
356576.95425050776,"[10, 4]",1.6779062731011578
356576.95425050776,"[13, 2]",1.677911856777138
356576.95425050776,"[9, 0, 1]",1.2817009596308153
356576.95425050776,"[9, 3]",2.145244316433855
356576.95425050776,[11],1.1201430692112246
356576.95425050776,"[7, 1, 2]",1.3441461946373818
356576.95425050776,"[8, 2]",1.6266998189875048
356576.95425050776,"[10, 2, 2, 1]",1.6300038710224276
356576.95425050776,"[10, 3]",1.9951102970073396
356576.95425050776,"[7, 1]",1.3147339446459645
356576.95425050776,"[9, 1]",1.5883288985158746
356576.95425050776,"[9, 2, 1]",1.5859776373757066
356576.95425050776,"[13, 4]",1.4820503926218638
356576.95425050776,"[12, 0, 2]",1.8111445090291494
