dimension,N,mean,sem
2,30,1.8366012301733445,0.032247372841789995
2,100,1.9559652897746869,0.03224676997496454
2,300,1.9816155099460608,0.014546064777520809
2,1000,1.987412150843004,0.0074081147618049875
2,3000,1.985544893849427,0.005933332830238207
2,10000,2.002441954981667,0.0022047660923200222
3,30,2.6733442885816237,0.05584846162552269
3,100,2.8933906684033603,0.054259012416457315
3,300,2.979854549825817,0.025623645870153765
3,1000,2.9988722189691996,0.018146180454252397
3,3000,2.995502981664533,0.008750298842380114
3,10000,3.0029030174978852,0.003035611144458306
4,30,3.207350974087322,0.03899199965332007
4,100,3.6431976187150803,0.04595541687000113
4,300,3.776337149620665,0.05172802699274658
4,1000,3.9682651090755447,0.0211175120253413
4,3000,3.9734165474272523,0.013514105010558474
4,10000,3.985830781454735,0.003917455265145896
