Mon Feb 13 12:15:15 2023    output.dat

         8120 function calls (8102 primitive calls) in 5.291 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    5.057    0.130    5.057    0.130 {method 'acquire' of '_thread.lock' objects}
      844    0.121    0.000    0.121    0.000 {built-in method builtins.sum}
        9    0.041    0.005    0.041    0.005 {built-in method _winapi.CreateProcess}
       59    0.027    0.000    0.027    0.000 {built-in method _winapi.WaitForSingleObject}
        1    0.023    0.023    5.161    5.161 C:\Users\leehi\OneDrive\Documents\Imperial_tings\Fourth_Year\MSci Project\Code\Causal_Sets\causalset.py:116(generate_CausalMatrix)
        1    0.002    0.002    0.125    0.125 C:\Users\leehi\OneDrive\Documents\Imperial_tings\Fourth_Year\MSci Project\Code\Causal_Sets\causalset.py:250(find_molecules)
        9    0.002    0.000    0.002    0.000 {built-in method _winapi.TerminateProcess}
      344    0.001    0.000    0.001    0.000 C:\Users\leehi\OneDrive\Documents\Imperial_tings\Fourth_Year\MSci Project\Code\Causal_Sets\causalsetfunctions.py:44(inside_horizon)
        9    0.001    0.000    0.001    0.000 {built-in method _winapi.CreatePipe}
        1    0.001    0.001    5.165    5.165 C:\Users\leehi\OneDrive\Documents\Imperial_tings\Fourth_Year\MSci Project\Code\Causal_Sets\causalset.py:26(__init__)
        9    0.001    0.000    0.001    0.000 {built-in method nt.stat}
       21    0.001    0.000    0.003    0.000 {method 'dump' of '_pickle.Pickler' objects}
       69    0.001    0.000    0.001    0.000 {built-in method _winapi.CloseHandle}
        1    0.001    0.001    0.001    0.001 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
        9    0.001    0.000    0.049    0.005 C:\Users\leehi\anaconda3\lib\multiprocessing\popen_spawn_win32.py:44(__init__)
        1    0.001    0.001    0.001    0.001 {method 'acquire' of '_multiprocessing.SemLock' objects}
      844    0.000    0.000    0.001    0.000 C:\Users\leehi\OneDrive\Documents\Imperial_tings\Fourth_Year\MSci Project\Code\Causal_Sets\causalEvent.py:6(__init__)
        1    0.000    0.000    5.291    5.291 <string>:1(<module>)
       36    0.000    0.000    0.000    0.000 {built-in method _winapi.OpenProcess}
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
        1    0.000    0.000    0.000    0.000 C:\Users\leehi\OneDrive\Documents\Imperial_tings\Fourth_Year\MSci Project\Code\Causal_Sets\causalset.py:265(<listcomp>)
        9    0.000    0.000    0.000    0.000 {built-in method io.open}
       21    0.000    0.000    0.000    0.000 C:\Users\leehi\anaconda3\lib\multiprocessing\reduction.py:38(__init__)
       59    0.000    0.000    0.027    0.000 C:\Users\leehi\anaconda3\lib\multiprocessing\popen_spawn_win32.py:101(wait)
       36    0.000    0.000    0.001    0.000 C:\Users\leehi\anaconda3\lib\multiprocessing\connection.py:956(reduce_pipe_connection)
       18    0.000    0.000    0.000    0.000 C:\Users\leehi\anaconda3\lib\multiprocessing\process.py:344(__reduce__)
       36    0.000    0.000    0.001    0.000 C:\Users\leehi\anaconda3\lib\multiprocessing\reduction.py:106(__init__)
       10    0.000    0.000    0.001    0.000 C:\Users\leehi\anaconda3\lib\multiprocessing\spawn.py:150(get_preparation_data)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateFile}
     1294    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
