,100,500,1000,5000
0,2,3,5,12
1,1,3,6,23
2,3,6,13,16
3,4,9,5,13
4,1,7,7,11
5,1,3,3,10
6,4,4,5,12
7,3,7,9,17
8,8,4,5,13
9,2,5,3,19
10,2,4,3,16
11,2,7,9,15
12,0,4,4,14
13,3,3,4,12
14,2,1,5,10
15,2,4,6,13
16,2,2,5,13
17,0,4,7,14
18,1,4,9,12
19,1,3,5,8
20,3,3,7,11
21,4,4,5,17
22,3,3,4,17
23,3,4,10,13
24,0,4,5,13
25,4,4,10,22
26,2,5,5,16
27,1,5,9,10
28,1,6,4,19
29,0,6,3,16
30,2,7,4,12
31,1,7,5,14
32,1,7,3,13
33,2,3,5,18
34,1,6,6,9
35,2,3,6,9
36,1,5,6,17
37,1,6,10,7
38,2,9,6,9
39,3,5,3,11
40,0,3,6,17
41,4,4,4,14
42,1,3,7,17
43,4,3,2,13
44,2,5,4,15
45,3,4,7,13
46,1,8,6,14
47,1,3,7,13
48,5,3,2,17
49,3,2,7,19
